1	1	454	blue	1
1	455	830	black	1
1	831	929	blue	1
1	930	1378	black	1
1	1379	1509	blue	1
1	1510	1924	orange	1
1	1925	2599	green	1
1	2600	2971	blue	1
1	2972	3139	black	1
10	1	362	orange	1
10	363	676	green	1
10	677	1277	olive	1
11	1	342	red	1
11	343	1025	cyan	1
11	1026	1332	red	1
12	1	387	lime	1
12	388	784	cyan	1
12	785	1166	yellowgreen	1
2	1	305	lime	1
2	306	671	yellowgreen	1
2	672	1270	cyan	1
2	1271	1539	green	1
2	1540	2174	olive	1
3	1	158	pink	1
3	159	726	purple	1
3	727	1370	teal	1
3	1371	1730	fuchsia	1
3	1731	1983	silver	1
3	1984	2072	black	1
4	1	130	purple	1
4	132	208	green	1
4	209	478	purple	1
4	479	1461	orange	1
4	1462	1715	lime	1
4	1716	2323	green	1
4	2324	2438	purple	1
5	1	1442	yellow	1
5	1443	1880	navy	1
6	1	493	silver	1
6	494	936	pink	1
6	937	1710	teal	1
6	1711	1737	orange	1
6	1740	1843	pink	1
6	1844	2250	silver	1
6	2251	2346	black	1
7	1	479	navy	1
7	480	870	yellow	1
7	871	1862	fuchsia	1
7	1863	2384	yellow	1
8	1	328	lime	1
8	332	951	red	1
8	952	1829	yellowgreen	1
8	1830	2189	red	1
9	1	802	pink	1
9	803	991	fuchsia	1
9	992	1545	silver	1
