atr42s1g00001,,,,
atr42s1g00002,,,,
atr42s1g00003,,,,
atr42s1g00004,,,,
atr42s1g00005,,,,
atr42s1g00006,,,,
atr42s1g00007,,,,
atr42s1g00008,cm170s2g00525,,,
atr42s1g00009,.,,,
atr42s1g00010,.,,,
atr42s1g00011,cm170s2g00534,,,
atr42s1g00012,cm170s2g00539,,,
atr42s1g00013,.,,,
atr42s1g00014,cm170s2g00541,,,
atr42s1g00015,.,cm170s3g01281,,
atr42s1g00016,.,.,,
atr42s1g00017,.,.,,
atr42s1g00018,.,.,,
atr42s1g00019,cm170s2g00544,.,,
atr42s1g00020,.,.,,
atr42s1g00021,.,.,,
atr42s1g00022,cm170s2g00545,.,,cm170s1g03120
atr42s1g00023,.,cm170s3g01282,,cm170s1g03119
atr42s1g00024,.,.,,cm170s1g03116
atr42s1g00025,.,.,,.
atr42s1g00026,cm170s2g00546,cm170s3g01283,,cm170s1g03115
atr42s1g00027,.,.,,.
atr42s1g00028,.,.,,.
atr42s1g00029,.,.,,.
atr42s1g00030,.,.,,.
atr42s1g00031,.,.,,.
atr42s1g00032,.,.,,cm170s1g03114
atr42s1g00033,.,.,,.
atr42s1g00034,.,.,,.
atr42s1g00035,cm170s2g00548,cm170s3g01284,,.
atr42s1g00036,cm170s2g00549,.,,.
atr42s1g00037,.,.,,.
atr42s1g00038,cm170s2g00550,.,,.
atr42s1g00039,.,.,,.
atr42s1g00040,.,.,,.
atr42s1g00041,.,cm170s3g01285,,.
atr42s1g00042,.,.,,.
atr42s1g00043,.,.,,.
atr42s1g00044,.,cm170s3g01286,,cm170s1g03108
atr42s1g00045,.,.,,.
atr42s1g00046,.,.,,.
atr42s1g00047,.,.,,.
atr42s1g00048,.,.,,.
atr42s1g00049,.,.,,.
atr42s1g00050,.,.,,.
atr42s1g00051,.,.,,.
atr42s1g00052,.,.,,.
atr42s1g00053,.,.,,.
atr42s1g00054,.,.,,.
atr42s1g00055,.,.,,.
atr42s1g00056,.,.,,.
atr42s1g00057,.,.,,.
atr42s1g00058,.,.,,.
atr42s1g00059,.,.,,.
atr42s1g00060,.,cm170s3g01334,,cm170s1g03045
atr42s1g00061,cm170s2g00560,.,,.
atr42s1g00062,.,.,,.
atr42s1g00063,.,.,,.
atr42s1g00064,.,.,,.
atr42s1g00065,cm170s2g00577,.,,.
atr42s1g00066,.,cm170s3g01288,,.
atr42s1g00067,.,.,,.
atr42s1g00068,.,.,,.
atr42s1g00069,.,.,,.
atr42s1g00070,cm170s2g00580,.,,.
atr42s1g00071,cm170s2g00581,.,,cm170s1g03105
atr42s1g00072,.,.,,cm170s1g03104
atr42s1g00073,.,.,,.
atr42s1g00074,.,.,,.
atr42s1g00075,.,.,,.
atr42s1g00076,.,.,,cm170s1g03103
atr42s1g00077,cm170s2g00583,cm170s3g01291,,.
atr42s1g00078,cm170s2g00584,.,,.
atr42s1g00079,.,.,,.
atr42s1g00080,.,.,,.
