1	1	635	yellowgreen	1
1	669	1057	purple	1
1	1065	2078	silver	1
1	2137	2304	orange	1
1	2342	2359	silver	1
1	2677	2737	orange	1
1	2849	3519	yellowgreen	1
10	1	221	silver	1
10	229	423	orange	1
10	427	1444	green	1
10	1453	2173	teal	1
11	1	786	blue	1
11	788	934	silver	1
11	952	971	purple	1
11	995	1666	fuchsia	1
11	1804	2087	purple	1
11	2111	2181	silver	1
12	1	400	olive	1
12	508	1452	cyan	1
12	1453	2235	black	1
13	1	541	navy	1
13	643	1768	yellow	1
14	1	805	olive	1
14	812	1743	lime	1
2	1	1166	lime	1
2	1175	1643	olive	1
2	1667	3397	red	1
3	1	939	black	1
3	945	1586	cyan	1
3	1715	1789	yellowgreen	1
3	1800	2253	orange	1
3	2337	3018	green	1
4	1	957	blue	1
4	964	1171	silver	1
4	1173	1201	purple	1
4	1268	2311	fuchsia	1
4	2421	2559	silver	1
4	2582	3072	purple	1
4	3077	3157	silver	1
4	3161	3221	purple	1
5	1	340	pink	1
5	355	378	yellow	1
5	380	1435	pink	1
5	1462	2415	orange	1
5	2444	2661	silver	1
6	1	343	yellowgreen	1
6	354	568	purple	1
6	577	1434	silver	1
6	1435	1442	pink	1
6	1444	1699	silver	1
6	1726	1964	orange	1
6	2014	2623	yellowgreen	1
7	1	1035	red	1
7	1191	2369	pink	1
8	1	530	navy	1
8	690	2293	yellow	1
9	1	1283	green	1
9	1291	1947	teal	1
9	1951	2037	red	1
